id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
c00ef48d-eae4-4bf1-9183-f1539422302e,ECO2AI Usage Example,training_sign_language_mnist_model,,2023-11-30 09:21:39,120.9549639225006,0.0008057284978486,0.0005040419935846,"Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz/1 device(s), TDP:45.0",Quadro T1000 with Max-Q Design 1 device(s),Windows,IN/Gujarat,0
05a72300-409a-4fed-a770-9f8d1c33ad52,ECO2AI Usage Example,training_sign_language_mnist_model,,2023-11-30 09:38:15,190.2366180419922,0.0014419812334638,0.0009020645261616,"Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz/1 device(s), TDP:45.0",Quadro T1000 with Max-Q Design 1 device(s),Windows,IN/Gujarat,0
12503c38-3454-46ba-b2cc-35e479f7ff58,ECO2AI Usage Example,training_sign_language_mnist_model,N/A,2023-11-30 09:46:55,968.4430978298187,0.006685497772939569,0.004182266898311125,"Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz/1 device(s), TDP:45.0",Quadro T1000 with Max-Q Design 1 device(s),Windows,IN/Gujarat,0
